index,city,type,county,state,lat,lng,uv_index,aqi,category,dominant_pollutant,date,temperature,cloud,pressure,wind(speed),rain
136,Fairfield,City,Solano,california,38.2493581,-122.0399663,1.94,56,Moderate air quality,pm25,2018-12-01 06:06:27+00,14.24,1,1019.0,2.1,1.01
137,Farmersville,City,Tulare,california,36.2977283,-119.2067767,2.53,96,Moderate air quality,pm25,2018-12-01 06:06:27+00,12.12,90,1019.0,1.91,0.0
138,Ferndale,City,Humboldt,california,40.5762406,-124.2639441,1.48,28,Good air quality,o3,2018-12-01 06:06:27+00,8.4,75,1017.0,4.6,0.0
139,Fillmore,City,Ventura,california,34.3991639,-118.918154,2.95,34,Good air quality,pm25,2018-12-01 06:06:27+00,17.2,40,1016.0,3.6,0.0
140,Firebaugh,City,Fresno,california,36.8588376,-120.4560072,2.32,80,Moderate air quality,pm25,2018-12-01 06:06:27+00,10.21,1,1018.0,3.36,0.0
141,Folsom,City,Sacramento,california,38.6779591,-121.1760583,1.89,55,Moderate air quality,pm25,2018-12-01 06:06:27+00,11.23,1,1018.0,3.6,0.0
142,Fontana,City,San Bernardino,california,34.0922335,-117.435048,3.03,70,Moderate air quality,pm25,2018-12-01 06:06:27+00,16.74,1,1016.0,0.53,0.0
143,Fort Bragg,City,Mendocino,california,39.445723,-123.8052935,1.69,30,Good air quality,pm25,2018-12-01 06:06:27+00,10.0,90,1018.0,1.5,0.25
144,Fort Jones,City,Siskiyou,california,41.6076387,-122.8403099,1.41,45,Good air quality,pm25,2018-12-01 06:06:27+00,5.51,90,1013.0,2.6,0.0
145,Fortuna,City,Humboldt,california,40.5981867,-124.1572756,1.5,29,Good air quality,pm25,2018-12-01 06:06:27+00,8.39,75,1017.0,4.6,0.0
146,Foster City,City,San Mateo,california,37.5585465,-122.2710788,2.04,59,Moderate air quality,pm25,2018-12-01 06:06:27+00,14.15,1,1020.0,2.1,1.02
147,Fountain Valley,City,Orange,california,33.7090212,-117.9544069,3.12,60,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.19,20,1015.0,5.33,0.0
148,Fowler,City,Fresno,california,36.6305058,-119.6784697,2.44,71,Moderate air quality,pm25,2018-12-01 06:06:27+00,11.73,1,1018.0,1.91,0.0
149,Fremont,City,Alameda,california,37.5482697,-121.9885719,2.07,49,Good air quality,pm25,2018-12-01 06:06:27+00,13.72,1,1020.0,2.1,1.02
